Nama Tempat,Tipe Tempat,Estimasi Harga (RP.),Rating Tempat Makan,Lokasi (maps),Jarak dari kampus (km)
Pecel Lontong Mama Oval,Outdoor,10000,4,https://maps.app.goo.gl/J7hGSbjENJNyBF5P6?g_st=aw,1
Warung Dina Wasaka,Warung,15000,3,https://maps.app.goo.gl/yASjwF3S7FFtyiBq7?g_st=com.google.maps.preview.copy,1.3
RM uda sayang group,Indoor,15000,4,https://maps.app.goo.gl/rfx6ttKYitP1RooQ8?g_st=com.google.maps.preview.copy,1
warung Jawa Timur,Warung,15000,5,https://maps.app.goo.gl/bLapjKBf13EeiZA19?g_st=com.google.maps.preview.copy,0.5
Warung Ibu,Warung,15000,5,https://maps.app.goo.gl/27NTuLTshWxNToPh8?g_st=com.google.maps.preview.copy,0.5
Saiyo Sakato Rumah Makan Masakan Padang,Indoor,19000,4,https://maps.app.goo.gl/vC3Q4eweFYwRAyvSA,1.2
Bubur Ayam AS Bandung,Indoor,25000,5,https://maps.app.goo.gl/VNrghMXX9GZVFFRv5?g_st=aw,2.7
Soto Lamongan Ratu Sari,Indoor,25000,5,https://maps.app.goo.gl/vsJjGUansnWmJC5Y7?g_st=com.google.maps.preview.copy,1.1
Nasi Goreng Legend,Outdoor,20000,3,https://maps.app.goo.gl/Nps4A2i7H6ZhSaFcA?g_st=com.google.maps.preview.copy,3.4
Warung Keprekan Bu Yayu,Indoor,12000,5,https://maps.app.goo.gl/1fijsoYgzR43kg9G6?g_st=aw,0.8
Warung Makan Barokah,Indoor,20000,5,https://maps.app.goo.gl/vTy4TCCTnekXMZKf6?g_st=aw,0.5
Bubur Ayam Bandung Sukabumi,Indoor,20000,4,https://maps.app.goo.gl/WWZssgMy3jMJpvAG6?g_st=aw,0.5
Warung Makan Sidomuncul,Indoor,25000,4,https://maps.app.goo.gl/Gr2vXQusVb9yUhBM7?g_st=aw,0.5
Depot Lestari,Outdoor,25000,5,https://maps.app.goo.gl/RgXyuUjcndw3r39E7?g_st=aw,0.5
RM Kaut Sorang,Outdoor,20000,5,https://maps.app.goo.gl/hiAx2LtwmEKFxSjf9?g_st=aw,0.45
Nasi Kapau Andahara,Outdoor,25000,5,https://maps.app.goo.gl/j2zHAf2p3vPP8S4cA?g_st=aw,0.55
Nasi Bakar MasMas,Outdoor,13000,3,https://maps.app.goo.gl/HKbRQ69vHDGwC2PK6,0.8
Warung Teten,Outdoor,20000,3,https://maps.app.goo.gl/K3GXA1kE2iGANaTJ8?g_st=aw,0.8
Warung Pataya ,Indoor,25000,4,https://maps.app.goo.gl/MWrYAwJG1MkrVofF9?g_st=aw,0.5
Warung Makan Cahaya,Indoor,20000,3,https://maps.app.goo.gl/7KRJtbeJfKNpjc3q9?g_st=aw,1
Depot Den Bagus Masto,Indoor,15000,3,https://maps.app.goo.gl/Pms9tuyFwGvw8uHd8?g_st=aw,1
Kedai Juicy,Warung,15000,4,https://maps.app.goo.gl/ajq94zHSwpTBatVR9?g_st=aw,1
Dino Juici,Warung,10000,3,https://maps.app.goo.gl/zZyZsMqyff6KVLL66?g_st=aw,0.5
Warung Mama Wahyu,Warung,20000,4,https://maps.app.goo.gl/6uAAF7weJdGPiBFn7?g_st=aw,1
Warung Jilfia,Warung,15000,3,https://maps.app.goo.gl/2MQ4ztZsdL9sXR5U6?g_st=aw,1
Warung Sate Kambing Mbak tun Wong Klaten,Warung,30000,3,https://maps.app.goo.gl/sW3mZgVwbzGBKm6S8?g_st=aw,1
Keen Zhan Ramen & Ayam Goreng 3 Rasa,Outdoor,20000,4,https://maps.app.goo.gl/3vaiaPnNYm4wHx5C8?g_st=aw,1
Bebek Sinjaya dan Ayam Kampung,Indoor,25000,4,https://maps.app.goo.gl/kX4tt9HdkL4tAk9v8?g_st=aw,0.5
Luweh ,Indoor,25000,5,https://maps.app.goo.gl/L6YnB1bFksy9viKD7?g_st=aw,1.3
Surya Cofffe & Eatery,Cafe,25000,5,https://maps.app.goo.gl/a7xi8xqtw3rLwMrA7?g_st=aw,1.2
Warung Bu Dijah,Warung,15000,5,https://maps.app.goo.gl/R72LRgGkhs3PrhuE8?g_st=aw,0.7
Nasi Kuning Mama Archi,Warung,15000,3,https://maps.app.goo.gl/qohWRA3qD65YZuoc9?g_st=aw,0.7
Mie Ayam & Bakso Alam Subur,Warung,12000,4,https://maps.app.goo.gl/egHXJMUdh6STADrG9?g_st=aw,0.7
Warung Tiara,Outdoor,15000,3,https://maps.app.goo.gl/8vdygCvef55CxLBF7?g_st=aw,0.8
Rumah Makan Saiyo Sakato,Indoor,16000,4,https://maps.app.goo.gl/SGzNXL3kK2sv2Nby7,1
RM UDA SAYANG GROUP,Indoor,15000,5,https://maps.app.goo.gl/GLnTWKC1DpRSgKvq8,1.1
Geprek bakar dan mie jebew priangan,Warung,12000,5,https://maps.app.goo.gl/c5NZrB3pmJdec9y76?g_st=aw,0.7
Warung Ibu,Warung,18000,5,https://maps.app.goo.gl/Ue956tpjUGXfhvv87,2
Keen Zhan Ramen & Ayam Goreng 3 Rasa,Outdoor,37500,4,https://maps.app.goo.gl/mMBz35bovhVh7tue9,0.65
Luweh,Indoor,26250,5,https://maps.app.goo.gl/ZRuqSiPyM8DNgcFL8,2.1
Nasi padang uda sayang,Warung,15000,4,https://maps.app.goo.gl/TafdYK9gae7iW6136,1
Roemah PeRi,Indoor,37500,4,https://maps.app.goo.gl/vAiYrSHGb4wp1r8e7,2.2
Cafe along,Mix indoor outdoor dan cafe,14000,5,https://maps.app.goo.gl/J17xfbAsJe19ZYNm7,2.7
Warung Keprekan Bu Yayu,Indoor,25000,5,https://maps.app.goo.gl/wLsjUtk4pu9Y7d727,1.5
WARUNG KEPREKAN BU YAYU,Indoor,13000,4,"Jl. Intansari No.35, Loktabat Sel., Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714",0.9
Warung Makan ayam syntall,Warung,25000,4,https://maps.app.goo.gl/gwiEu9bSPiLvzkac7,1.6
Warung Makan Bu Dijah,Warung,15000,3,https://maps.app.goo.gl/R72LRgGkhs3PrhuE8?g_st=aw,0.7
Mie Ayam & Bakso Alam Subur,indoor dan outdoor,15000,4,https://maps.app.goo.gl/egHXJMUdh6STADrG9?g_st=aw,0.7
Ayam syntall,Indoor,11500,5,https://g.co/kgs/Zv8DX1o,0.95
Tomoro,Cafe,37500,4,https://maps.app.goo.gl/XgpwUNKcskKAHXMG9,1.3
Depot Den Bagus Masto,Warung,13000,4,https://maps.app.goo.gl/Pms9tuyFwGvw8uHd8?g_st=aw,0
Tempat Bicara Coffee & Eatery,Cafe,38000,4,https://maps.app.goo.gl/LvCYBUEwgem1BzWx5,1.8
Ma hi tree,Cafe,25000,5,https://maps.app.goo.gl/BQBNJ2P12oW3vdBr8?g_st=aw,0.5
Tempat Bicara Coffee & Eatery,Mix Cafe Indoor & Outdoor,32500,4,https://maps.app.goo.gl/wheKwtWcHEs8iGBU7?g_st=ic,1.2
Warung Pojok Astoria,Warung,25000,4,https://maps.app.goo.gl/TA5f4HUJbgrN6371A?g_st=ic,1.3
ayam sintal,Indoor,15000,3,https://g.co/kgs/Zv8DX1o,0.95
Batagor & Siomay Devi,Indoor,25000,3,https://maps.app.goo.gl/2VvZ9218g9cWLKbM9,2.6
Ayam Geprek Kimo-Kimo,Warung,17500,5,https://maps.app.goo.gl/S9dfJdmYbuP8k8EVA?g_st=ic,0.5
Ayam Kremes Kimo-Kimo II,Warung,17500,5,https://maps.app.goo.gl/zUJXWuJvmXjtYGSR9?g_st=ic,1.7
Patria Tombo Ngelak,Warung,12500,5,https://maps.app.goo.gl/DUMNKBtEsQR2gZYs5?g_st=ic,2
Fore Coffee,Cafe,37500,4,https://maps.app.goo.gl/h7WvoLBDY9WMznWn9?g_st=ic,1.3
Soto Ayam Lamongan Mas Harry,Warung,15000,5,https://maps.app.goo.gl/CdGDgqvtEmvyLtz27?g_st=ic,1.5
Warung Mobil & Jitter Bug Coffee,Mix Warung & Cafe,20000,4,https://maps.app.goo.gl/CyKpPpF9EPRLi2v89?g_st=ic,1.9
MIE AYAM & BAKSO Mam Subur,Indoor,9000,5,https://maps.app.goo.gl/RgqgYwQ7i8NUvL6d8,1.1
KPK (Kita Pencinta Kuliner),Warung,15000,5,https://maps.app.goo.gl/wZ5dHWoPsieWuKKG9?g_st=ic,0.8
Cobek Ireng,Outdoor,30000,4,https://maps.app.goo.gl/7Rsn6FJca9eB95Rr5,3.1
Hotplate.bdj Vol.1,Warung,37500,4,https://maps.app.goo.gl/TcmM69znctpSVtgF6?g_st=ic,1.2
Warung Gunung Pecel Madiun,Warung,10000,5,https://maps.app.goo.gl/UAGaUcq9CsQs73i96?g_st=ic,1.5
Lombok Merah Merona,Indoor,37500,3,https://maps.app.goo.gl/odqB62SA9EAxSyv8A,2.2
Levare Cafe,Outdoor,25000,4,https://maps.app.goo.gl/LbZ2AorfdcNcV4bd7?g_st=ic,0.7
Wedrink Banjarbaru,Indoor,15000,5,https://maps.app.goo.gl/fNtYwThV8VVr8XHo6?g_st=ic,0.8
Depot Hijau Pandan,Warung,17500,5,https://maps.app.goo.gl/WQQWrMgqgQYFjRg48?g_st=ic,1.7
Marindu Rasa,Warung,17500,4,https://maps.app.goo.gl/tVw5MUjhKsV5dkMu9?g_st=ic,1.6
Mie Gacoan Banjarbaru A.Yani,Indoor,12500,4,https://maps.app.goo.gl/H1F3Z3PThRc6w9is5?g_st=ic,0.9
Mie ayam bakso subur,Indoor Dan outdoor ,15000,4,https://maps.app.goo.gl/eBiMxv1LoAi6tcPM8?g_st=aw,1.5
Ayam Syntall,Indoor,15000,3,"Warung Makan ayam syntall, Jl. Intansari No.10 H, Loktabat Sel., Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714",1.9
Ayam Syntall,Indoor,15000,5,"Warung Makan ayam syntall, Jl. Intansari No.10 H, Loktabat Sel., Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714",1.9
Tomoro,Cafe,25000,5,https://maps.app.goo.gl/txSZEWXTfMk5rfoPA?g_st=ac,2.5
Aeon Coffee Unlam III,Cafe,37500,5,https://maps.app.goo.gl/ZyJLbozkD6nAG7od7?g_st=ic,0.6
Toko Kopi Melayu,Indoor,22500,4,https://maps.app.goo.gl/h5uY5wi4X6Y3oiCE6?g_st=ic,2.3
Warung Kopi Cuan Sungai Paring,Indoor,35000,5,https://maps.app.goo.gl/NTVUT5z1gd5MUgfC7?g_st=ic,1.8
Kuk Kuk Thai Tea,Outdoor,10000,5,https://maps.app.goo.gl/BcY8v96PWLwgWH5a8?g_st=ic,4.5
Depot Bakso dan Mie Ayam Subur Group,Warung,25000,4,https://maps.app.goo.gl/5LneetScuxfX9WdXA?g_st=aw,1.2
Comet Coffee,Cafe,37500,4,https://maps.app.goo.gl/Rk8AB88RtLfFCgk8A?g_st=ic,1.2
Cinnamon Coffee & Eatery,Cafe,37500,4,https://maps.app.goo.gl/1vfmxVHEmXRR8zxB7?g_st=ic,1.9
Kapal Layar Pizza & Chicken,Outdoor,30000,5,https://maps.app.goo.gl/KDaro9qTYN8ENocY8?g_st=ic,1.6
Nola Chicken,Indoor,11500,3,https://maps.app.goo.gl/vAAVUQRcYHbGdwUEA?g_st=ic,1.6
Beber Purnama Surabaya,Warung,25000,4,https://maps.app.goo.gl/ShwHhQBVGVCs44LT6?g_st=ic,2
Ayam Bakar Wong Solo A. Yani,Warung,35000,4,https://maps.app.goo.gl/tWfSRdVBNNK19Rxv6?g_st=ic,1
Cwiemie Malang DM,Warung,15000,5,https://maps.app.goo.gl/RF57hLSKxGSjy6pi7?g_st=ic,1.5
Langit Biru,Cafe,22500,4,https://maps.app.goo.gl/3v7yysG64uizeEkT6?g_st=ic,2
Mie Ayam & Bakso AE,Warung,15000,5,https://maps.app.goo.gl/CRR7a7M7HdEwdPMe7?g_st=ic,1.9
Moonlight 2,Cafe,37500,3,https://maps.app.goo.gl/gxejdCrKoP1gQoLg7?g_st=ic,1
diSruput Kedai Kopi & Kuliner,Warung,35000,4,https://maps.app.goo.gl/gaN73xJfsov9j15SA?g_st=ic,1.5
Mie Goyang Pinus 2,Outdoor,12500,5,https://maps.app.goo.gl/FezaTwDQWQad9o7a7?g_st=ic,1.4
Ketoprak Kemuning jakarta,Warung,17000,5,https://maps.app.goo.gl/Gwm5evTCHsnZ2bYb9,0.6
Ayam ganja,Warung,15000,5,gaada di maps,2
Warung Trikora,Outdoor,11000,4,"GRQM+R94 Guntungmanggis, Banjarbaru City, South Kalimantan",2.5
Hotplate.bdj Vol.1,Tempat Makan,37500,4,https://maps.app.goo.gl/gmUkss1SJqstFZob8?g_st=aw,2
Warung Bebek Purnama Surabaya,Warung,25000,5,https://maps.app.goo.gl/HLkHFyUJEuRvVcya6?g_st=aw,2